NearestNeighbor	dH0	dS0	OligoType	InteractionType	Reference
rArG/rUrC	-10.48	-27.1	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rArU/rUrA	-9.38	-26.7	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rCrA/rGrU	-10.44	-26.9	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rCrC/rGrG	-13.39	-32.7	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rCrG/rGrC	-10.64	-26.7	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rCrU/rGrA	-10.48	-27.1	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rGrA/rCrU	-12.44	-32.5	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rGrC/rCrG	-14.88	-36.9	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rGrG/rCrC	-13.39	-32.7	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rGrU/rCrA	-11.4	-29.5	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rUrA/rArU	-7.69	-20.5	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rUrC/rArG	-12.44	-32.5	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rUrG/rArC	-10.44	-26.9	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
rUrU/rArA	-6.82	-19	RNA/RNA	WatsonCrick	"Xia et al. Biochemistry 1998, 37, 42, 14719–14735"
+AA/rUrU	-11.5	-34.3	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+AC/rUrG	-7.8	-19.5	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+AG/rUrC	-7	-17.6	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+AT/rUrA	-8.3	-21.8	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+CA/rGrU	-10.4	-26.3	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+CC/rGrG	-12.8	-29.8	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+CG/rGrC	-16.3	-45	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+CT/rGrA	-9.1	-21.4	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+GA/rCrU	-8.6	-20.8	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+GC/rCrG	-8	-15	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+GG/rCrC	-9.3	-21.1	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+GT/rCrA	-5.9	-10.2	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+TA/rArU	-7.8	-21.1	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+TC/rArG	-5.5	-11.4	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+TG/rArC	-9	-24	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+TT/rArA	-7.8	-19.8	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
A+A/rUrU	-11.5	-34.3	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
A+C/rUrG	-7.8	-19.5	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
A+G/rUrC	-7	-17.6	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
A+T/rUrA	-8.3	-21.8	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
C+A/rGrU	-10.4	-26.3	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
C+C/rGrG	-12.8	-29.8	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
C+G/rGrC	-16.3	-45	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
C+T/rGrA	-9.1	-21.4	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
G+A/rCrU	-8.6	-20.8	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
G+C/rCrG	-8	-15	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
G+G/rCrC	-9.3	-21.1	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
G+T/rCrA	-5.9	-10.2	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
T+A/rArU	-7.8	-21.1	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
T+C/rArG	-5.5	-11.4	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
T+G/rArC	-9	-24	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
T+T/rArA	-7.8	-19.8	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+A+A/rUrU	-11.5	-31.5	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+A+C/rUrG	-7.8	-16.7	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+A+G/rUrC	-7	-14.8	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+A+T/rUrA	-8.3	-19	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+C+A/rGrU	-10.4	-23.5	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+C+C/rGrG	-12.8	-27	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+C+G/rGrC	-16.3	-42.2	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+C+T/rGrA	-9.1	-18.6	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+G+A/rCrU	-8.6	-18	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+G+C/rCrG	-8	-12.2	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+G+G/rCrC	-9.3	-18.3	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+G+T/rCrA	-5.9	-7.4	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+T+A/rArU	-7.8	-18.3	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+T+C/rArG	-5.5	-8.6	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+T+G/rArC	-9	-21.2	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
+T+T/rArA	-7.8	-17	LNA/RNA	WatsonCrick	"Extrapolated from Sugimoto et al. Biochemistry and Rahman et al J. Am. Chem. Soc. 2008, 130 (14), 4886?4896."
AA/TT	-7.9	-22.2	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
AC/TG	-8.4	-22.4	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
AG/TC	-7.8	-21	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
AT/TA	-7.2	-20.4	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
CA/GT	-8.5	-22.7	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
CC/GG	-8	-19.9	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
CG/GC	-10.6	-27.2	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
CT/GA	-7.8	-21	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
GA/CT	-8.2	-22.2	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
GC/CG	-9.8	-24.4	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
GG/CC	-8	-19.9	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
GT/CA	-8.4	-22.4	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
TA/AT	-7.2	-21.3	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
TC/AG	-8.2	-22.2	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
TG/AC	-8.5	-22.7	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
TT/AA	-7.9	-22.2	DNA/DNA	WatsonCrick	"Allawi,H., SantaLucia,J.,Jr., Biochemistry, 36, 10581"
AA/TA	1.2	1.7	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3477"
CA/GA	-0.9	-4.2	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3478"
GA/CA	-2.9	-9.8	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3479"
TA/AA	4.7	12.9	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3480"
AC/TC	0	-4.4	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3481"
CC/GC	-1.5	-7.2	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3482"
GC/CC	3.6	8.9	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3483"
TC/AC	6.1	16.4	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3484"
AG/TG	-3.1	-9.5	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3485"
CG/GG	-4.9	-15.3	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3486"
GG/CG	-6	-15.8	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3487"
TG/AG	1.6	3.6	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3488"
AT/TT	-2.7	-10.8	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3489"
CT/GT	-5	-15.8	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3490"
GT/CT	-2.2	-8.4	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3491"
TT/AT	0.2	-1.5	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3492"
AT/AA	1.2	1.7	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3477"
AG/AC	-0.9	-4.2	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3478"
AC/AG	-2.9	-9.8	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3479"
AA/AT	4.7	12.9	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3480"
CT/CA	0	-4.4	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3481"
CG/CC	-1.5	-7.2	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3482"
CC/CG	3.6	8.9	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3483"
CA/CT	6.1	16.4	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3484"
GT/GA	-3.1	-9.5	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3485"
GG/GC	-4.9	-15.3	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3486"
GC/GG	-6	-15.8	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3487"
GA/GT	1.6	3.6	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3488"
TT/TA	-2.7	-10.8	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3489"
TG/TC	-5	-15.8	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3490"
TC/TG	-2.2	-8.4	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3491"
TA/TT	0.2	-1.5	DNA/DNA	Mismatch	"Peyret et al. Biochemistry 1999, 38, 12, 3468–3492"
AG/TT	1	0.9	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
AT/TG	-2.5	-8.3	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
CG/GT	-4.1	-11.7	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
CT/GG	-2.8	-8	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
GG/CT	3.3	10.4	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
GG/TT	5.8	16.3	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
GT/CG	-4.4	-12.3	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
GT/TG	4.1	9.5	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
TG/AT	-0.1	-1.7	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
TG/GT	-1.4	-6.2	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
TT/AG	-1.3	-5.3	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
TT/GA	1	0.9	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
GT/TA	-2.5	-8.3	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
TG/GC	-4.1	-11.7	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
GG/TC	-2.8	-8	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
TC/GG	3.3	10.4	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
TT/GG	5.8	16.3	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
GC/TG	-4.4	-12.3	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
GT/TG	4.1	9.5	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
TA/GT	-0.1	-1.7	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
TG/GT	-1.4	-6.2	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
GA/TT	-1.3	-5.3	DNA/DNA	Mismatch	"Hatim T. Allawi and John SantaLucia, Biochemistry 1997 36 (34), 10581-10594"
AC/TT	0.7	0.2	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
AT/TC	-1.2	-6.2	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
CC/GT	-0.8	-4.5	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
CT/GC	-1.5	-6.1	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
GC/CT	2.3	5.4	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
GT/CC	5.2	13.5	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
TC/AT	1.2	0.7	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
TT/AC	1	0.7	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
TT/CA	0.7	0.2	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
CT/TA	-1.2	-6.2	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
TG/CC	-0.8	-4.5	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
CG/TC	-1.5	-6.1	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
TC/CG	2.3	5.4	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
CC/TG	5.2	13.5	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
TA/CT	1.2	0.7	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
CA/TT	1	0.7	DNA/DNA	Mismatch	"Hatim T. Allawi, John SantaLucia. Volume 26, Issue 11, 1 June 1998, Pages 2694–2701"
AA/TC	2.3	4.6	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
AC/TA	5.3	14.6	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
CA/GC	1.9	3.7	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
CC/GA	0.6	-0.6	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
GA/CC	5.2	14.2	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
GC/CA	-0.7	-3.8	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
TA/AC	3.4	8	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
TC/AA	7.6	20.2	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
CT/AA	2.3	4.6	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
AT/CA	5.3	14.6	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
CG/AC	1.9	3.7	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
AG/CC	0.6	-0.6	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
CC/AG	5.2	14.2	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
AC/CG	-0.7	-3.8	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
CA/AT	3.4	8	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
AA/CT	7.6	20.2	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 26, 9435–9444"
AA/TG	-0.6	-2.3	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 8, 2170–2179"
AG/TA	-0.7	-2.3	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 8, 2170–2179"
CA/GG	-0.7	-2.3	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 8, 2170–2179"
CG/GA	-4	-13.2	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 8, 2170–2179"
GA/CG	-0.6	-1	DNA/DNA	Mismatch	"Allawi and SantaLucia, Biochemistry 1998, 37, 8, 2170–2179"
